Name,Stars,Title,Date,Description
Amazon Customer,5.0,"5.0 out of 5 stars
White Jeans",N/A,"Quality, material, fit, comfort, elasticity all up to the markI am happy with this product
Read more"
Amazon Customer,4.0,"4.0 out of 5 stars
Excellent product",N/A,"Second time purchase same items. Quality need to improve. Remaining all are ok.
Read more"
Value for money,4.0,"4.0 out of 5 stars
Quality is good but length is not as expected with waist size",N/A,"Good quality material.Waist size is matching but length is slightly shorter than expected otherwise it's good 👍
Read more"
Amal PJ,3.0,"3.0 out of 5 stars
Doubts about material quality",N/A,"Pocket was torn. I liked it but quality not so good.
Read more"
Debabrata Mishra,5.0,"5.0 out of 5 stars
Value for money",N/A,"Good product and  fittings. Overall value for money
Read more"
Atul Pandit,5.0,"5.0 out of 5 stars
Excellent Product",N/A,"The coform of the jeans is awesome in relaxed fit category. good qualityd reasonable price, I would love to buy some more jeans and trousers from this seller. Thanks
Read more"
Chandana Banerjee,2.0,"2.0 out of 5 stars
Very Very Very Cheap Quality Jeans",N/A,"This jeans is coloured with very low quality dye as it wash off easily when washed with only normal water. After washing, the colour is faded a little.So within 3 months of use, all the colour will be off and the pant will become fade.
Read more"
ശ്രീജിത്ത്,3.0,"3.0 out of 5 stars
3star given",N/A,"Fit and quality is ok but length is too short👎
Read more"
Amazon Customer,5.0,"5.0 out of 5 stars
White Jeans",N/A,"Quality, material, fit, comfort, elasticity all up to the markI am happy with this product
Read more"
Amazon Customer,4.0,"4.0 out of 5 stars
Excellent product",N/A,"Second time purchase same items. Quality need to improve. Remaining all are ok.
Read more"
Value for money,4.0,"4.0 out of 5 stars
Quality is good but length is not as expected with waist size",N/A,"Good quality material.Waist size is matching but length is slightly shorter than expected otherwise it's good 👍
Read more"
Amal PJ,3.0,"3.0 out of 5 stars
Doubts about material quality",N/A,"Pocket was torn. I liked it but quality not so good.
Read more"
Debabrata Mishra,5.0,"5.0 out of 5 stars
Value for money",N/A,"Good product and  fittings. Overall value for money
Read more"
Atul Pandit,5.0,"5.0 out of 5 stars
Excellent Product",N/A,"The coform of the jeans is awesome in relaxed fit category. good qualityd reasonable price, I would love to buy some more jeans and trousers from this seller. Thanks
Read more"
Chandana Banerjee,2.0,"2.0 out of 5 stars
Very Very Very Cheap Quality Jeans",N/A,"This jeans is coloured with very low quality dye as it wash off easily when washed with only normal water. After washing, the colour is faded a little.So within 3 months of use, all the colour will be off and the pant will become fade.
Read more"
ശ്രീജിത്ത്,3.0,"3.0 out of 5 stars
3star given",N/A,"Fit and quality is ok but length is too short👎
Read more"
